,CountyName,StateName,StateFIPS,CountyFIPS,MetroName_Zillow,CBSAName,CountyRegionID_Zillow,MetroRegionID_Zillow,FIPS,CBSACode
0,Hudson,New Jersey,34,17,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1106,394913.0,34017,35620.0
1,Morris,New Jersey,34,27,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1241,394913.0,34027,35620.0
2,Nassau,New York,36,59,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1252,394913.0,36059,35620.0
3,Orange,New York,36,71,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1290,394913.0,36071,35620.0
4,Putnam,New York,36,79,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1343,394913.0,36079,35620.0
5,Queens,New York,36,81,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1347,394913.0,36081,35620.0
6,Essex,New Jersey,34,13,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",504,394913.0,34013,35620.0
7,Kings,New York,36,47,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",581,394913.0,36047,35620.0
8,Ocean,New Jersey,34,29,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",659,394913.0,34029,35620.0
9,Union,New Jersey,34,39,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",771,394913.0,34039,35620.0
10,Bergen,New Jersey,34,3,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",874,394913.0,34003,35620.0
11,Hunterdon,New Jersey,34,19,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2729,394913.0,34019,35620.0
12,Middlesex,New Jersey,34,23,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2802,394913.0,34023,35620.0
13,Westchester,New York,36,119,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",3148,394913.0,36119,35620.0
14,Pike,Pennsylvania,42,103,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",280,394913.0,42103,35620.0
15,Bronx,New York,36,5,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",401,394913.0,36005,35620.0
16,Monmouth,New Jersey,34,25,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2441,394913.0,34025,35620.0
17,New York,New York,36,61,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2452,394913.0,36061,35620.0
18,Richmond,New York,36,85,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2511,394913.0,36085,35620.0
19,Rockland,New York,36,87,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2515,394913.0,36087,35620.0
20,Somerset,New Jersey,34,35,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2552,394913.0,34035,35620.0
21,Sussex,New Jersey,34,37,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1413,394913.0,34037,35620.0
22,Passaic,New Jersey,34,31,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1964,394913.0,34031,35620.0
23,Suffolk,New York,36,103,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2046,394913.0,36103,35620.0
24,Dutchess,New York,36,27,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",2255,394913.0,36027,35620.0
25,Orange,California,6,59,"Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA",1286,753899.0,6059,31080.0
26,Los Angeles,California,6,37,"Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA",3101,753899.0,6037,31080.0
27,Grundy,Illinois,17,63,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1068,394463.0,17063,16980.0
28,Jasper,Indiana,18,73,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1117,394463.0,18073,16980.0
29,Newton,Indiana,18,111,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1264,394463.0,18111,16980.0
30,Porter,Indiana,18,127,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1330,394463.0,18127,16980.0
31,DeKalb,Illinois,17,37,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1657,394463.0,17037,16980.0
32,Cook,Illinois,17,31,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",139,394463.0,17031,16980.0
33,Kane,Illinois,17,89,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",197,394463.0,17089,16980.0
34,Lake,Illinois,17,97,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",220,394463.0,17097,16980.0
35,Lake,Indiana,18,89,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",221,394463.0,18089,16980.0
36,Will,Illinois,17,197,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",330,394463.0,17197,16980.0
37,Du Page,Illinois,17,43,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1682,394463.0,17043,16980.0
38,Kendall,Illinois,17,93,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1835,394463.0,17093,16980.0
39,Kenosha,Wisconsin,55,59,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1837,394463.0,55059,16980.0
40,McHenry,Illinois,17,111,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",1922,394463.0,17111,16980.0
41,Parker,Texas,48,367,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",1308,394514.0,48367,19100.0
42,Johnson,Texas,48,251,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",1827,394514.0,48251,19100.0
43,Kaufman,Texas,48,257,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",1833,394514.0,48257,19100.0
44,Tarrant,Texas,48,439,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",2049,394514.0,48439,19100.0
45,Denton,Texas,48,121,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",988,394514.0,48121,19100.0
46,Hunt,Texas,48,231,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",185,394514.0,48231,19100.0
47,Wise,Texas,48,497,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",333,394514.0,48497,19100.0
48,Ellis,Texas,48,139,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",498,394514.0,48139,19100.0
49,Collin,Texas,48,85,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",951,394514.0,48085,19100.0
50,Dallas,Texas,48,113,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",978,394514.0,48113,19100.0
51,Rockwall,Texas,48,397,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",2516,394514.0,48397,19100.0
52,Somervell,Texas,48,425,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",2848,394514.0,48425,19100.0
53,Hood,Texas,48,221,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",184,394514.0,48221,19100.0
54,Chester,Pennsylvania,42,29,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1611,394974.0,42029,37980.0
55,Delaware,Pennsylvania,42,45,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2251,394974.0,42045,37980.0
56,Burlington,New Jersey,34,5,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2896,394974.0,34005,37980.0
57,Gloucester,New Jersey,34,15,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2929,394974.0,34015,37980.0
58,Montgomery,Pennsylvania,42,91,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2981,394974.0,42091,37980.0
59,New Castle,Delaware,10,3,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2986,394974.0,10003,37980.0
60,Philadelphia,Pennsylvania,42,101,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3175,394974.0,42101,37980.0
61,Bucks,Pennsylvania,42,17,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",414,394974.0,42017,37980.0
62,Cecil,Maryland,24,15,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",429,394974.0,24015,37980.0
63,Salem,New Jersey,34,33,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",702,394974.0,34033,37980.0
64,Camden,New Jersey,34,7,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",911,394974.0,34007,37980.0
65,Harris,Texas,48,201,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",1090,394692.0,48201,26420.0
66,Waller,Texas,48,473,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",1467,394692.0,48473,26420.0
67,Liberty,Texas,48,291,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",1861,394692.0,48291,26420.0
68,Brazoria,Texas,48,39,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",2151,394692.0,48039,26420.0
69,Chambers,Texas,48,71,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",2182,394692.0,48071,26420.0
70,Fort Bend,Texas,48,157,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",2698,394692.0,48157,26420.0
71,Galveston,Texas,48,167,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",2702,394692.0,48167,26420.0
72,Montgomery,Texas,48,339,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",2983,394692.0,48339,26420.0
73,Austin,Texas,48,15,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",844,394692.0,48015,26420.0
74,Warren,Virginia,51,187,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1483,395209.0,51187,47900.0
75,Calvert,Maryland,24,9,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1581,395209.0,24009,47900.0
76,Charles,Maryland,24,17,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1607,395209.0,24017,47900.0
77,Fairfax,Virginia,51,59,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1694,395209.0,51059,47900.0
78,Loudoun,Virginia,51,107,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1887,395209.0,51107,47900.0
79,Culpeper,Virginia,51,47,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2240,395209.0,51047,47900.0
80,Clarke,Virginia,51,43,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",943,395209.0,51043,47900.0
81,Prince William,Virginia,51,153,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3247,395209.0,51153,47900.0
82,Alexandria City,Virginia,51,510,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3253,395209.0,51510,47900.0
83,Falls Church City,Virginia,51,610,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3272,395209.0,51610,47900.0
84,Manassas Park City,Virginia,51,685,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3282,395209.0,51685,47900.0
85,Fredericksburg City,Virginia,51,630,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3283,395209.0,51630,47900.0
86,District of Columbia,District of Columbia,11,1,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3289,395209.0,11001,47900.0
87,Montgomery,Maryland,24,31,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2975,395209.0,24031,47900.0
88,Fairfax City,Virginia,51,600,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3162,395209.0,51600,47900.0
89,Rappahannock,Virginia,51,157,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3183,395209.0,51157,47900.0
90,Spotsylvania,Virginia,51,177,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3193,395209.0,51177,47900.0
91,Manassas City,Virginia,51,683,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3213,395209.0,51683,47900.0
92,Prince Georges,Maryland,24,33,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3246,395209.0,24033,47900.0
93,Fauquier,Virginia,51,61,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2261,395209.0,51061,47900.0
94,Stafford,Virginia,51,179,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2556,395209.0,51179,47900.0
95,Arlington,Virginia,51,13,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2619,395209.0,51013,47900.0
96,Frederick,Maryland,24,21,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2699,395209.0,24021,47900.0
97,Jefferson,West Virginia,54,37,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2757,395209.0,54037,47900.0
98,Broward,Florida,12,11,"Miami, FL","Miami-Fort Lauderdale-West Palm Beach, FL",1561,394856.0,12011,33100.0
99,Miami-Dade,Florida,12,86,"Miami, FL","Miami-Fort Lauderdale-West Palm Beach, FL",2964,394856.0,12086,33100.0
100,Palm Beach,Florida,12,99,"Miami, FL","Miami-Fort Lauderdale-West Palm Beach, FL",2993,394856.0,12099,33100.0
101,Fulton,Georgia,13,121,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",1020,394347.0,13121,12060.0
102,Jasper,Georgia,13,159,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",1114,394347.0,13159,12060.0
103,Morgan,Georgia,13,211,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",1231,394347.0,13211,12060.0
104,Newton,Georgia,13,217,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",1263,394347.0,13217,12060.0
105,Walton,Georgia,13,297,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",1469,394347.0,13297,12060.0
106,Coweta,Georgia,13,77,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",960,394347.0,13077,12060.0
107,Dawson,Georgia,13,85,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",979,394347.0,13085,12060.0
108,Dekalb,Georgia,13,89,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",984,394347.0,13089,12060.0
109,Butts,Georgia,13,35,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",421,394347.0,13035,12060.0
